date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,team
2023-08-27,17:30,Bundesliga,Matchweek 2,Sun,Away,L,1.0,3.0,Bayern Munich,0.7,2.8,39.0,75000.0,Ermedin Demirović,4-2-2-2,Daniel Siebert,Match Report,,10.0,2.0,26.4,0.0,0.0,0.0,Augsburg
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,D,2.0,2.0,Bochum,1.9,1.6,38.0,27424.0,Ermedin Demirović,4-2-2-2,Martin Petersen,Match Report,,11.0,4.0,13.6,0.0,0.0,0.0,Augsburg
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,L,0.0,3.0,RB Leipzig,1.7,1.1,46.0,44746.0,Ermedin Demirović,3-4-3,Sascha Stegemann,Match Report,,16.0,5.0,16.5,0.0,0.0,0.0,Augsburg
2023-08-14,20:45,DFB-Pokal,Round of 64,Mon,Away,W,3.0,1.0,Osnabrück,,,46.0,,Florian Kainz,4-4-2◆,Florian Badstübner,Match Report,Required Extra Time,14.0,6.0,,,0.0,0.0,Koln
2023-08-19,18:30,Bundesliga,Matchweek 1,Sat,Away,L,0.0,1.0,Dortmund,1.2,1.8,34.0,81365.0,Florian Kainz,4-2-3-1,Deniz Aytekin,Match Report,,11.0,4.0,16.5,0.0,0.0,0.0,Koln
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Home,L,1.0,2.0,Wolfsburg,0.9,1.7,50.0,49500.0,Florian Kainz,4-2-3-1,Matthias Jöllenbeck,Match Report,,13.0,2.0,19.9,0.0,0.0,0.0,Koln
2023-09-03,15:30,Bundesliga,Matchweek 3,Sun,Away,D,1.0,1.0,Eint Frankfurt,0.9,1.1,35.0,54000.0,Florian Kainz,4-1-4-1,Florian Badstübner,Match Report,,6.0,1.0,25.3,0.0,1.0,1.0,Koln
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Home,L,1.0,3.0,Hoffenheim,1.0,1.0,56.0,49300.0,Florian Kainz,4-2-3-1,Daniel Siebert,Match Report,,18.0,6.0,18.0,0.0,0.0,0.0,Koln
2023-08-14,18:00,DFB-Pokal,Round of 64,Mon,Away,L,0.0,3.0,Homburg,,,82.0,12000.0,Fabian Holland,3-4-3,Daniel Schlager,Match Report,,27.0,9.0,,,0.0,1.0,Darmstadt 98
2023-08-20,17:30,Bundesliga,Matchweek 1,Sun,Away,L,0.0,1.0,Eint Frankfurt,0.5,1.5,39.0,54000.0,Fabian Holland,3-4-3,Harm Osmers,Match Report,,10.0,2.0,19.0,0.0,0.0,0.0,Darmstadt 98
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Home,L,1.0,4.0,Union Berlin,2.3,1.7,73.0,17810.0,Fabian Holland,3-4-3,Patrick Ittrich,Match Report,,21.0,6.0,16.0,0.0,0.0,0.0,Darmstadt 98
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Away,L,1.0,5.0,Leverkusen,0.4,2.8,28.0,29653.0,Fabian Holland,3-4-1-2,Sven Jablonski,Match Report,,5.0,1.0,17.8,0.0,0.0,0.0,Darmstadt 98
2023-09-17,17:30,Bundesliga,Matchweek 4,Sun,Home,D,3.0,3.0,M'Gladbach,1.2,3.9,37.0,17810.0,Fabian Holland,3-5-2,Timo Gerach,Match Report,,15.0,8.0,21.6,2.0,0.0,0.0,Darmstadt 98
2023-08-12,18:00,DFB-Pokal,Round of 64,Sat,Away,W,1.0,0.0,Elversberg,,,55.0,10000.0,Robin Zentner,3-4-3,Martin Petersen,Match Report,,27.0,8.0,,,1.0,1.0,Mainz 05
2023-08-20,15:30,Bundesliga,Matchweek 1,Sun,Away,L,1.0,4.0,Union Berlin,2.3,1.9,53.0,22012.0,Robin Zentner,3-4-3,Tobias Stieler,Match Report,,8.0,1.0,18.5,0.0,0.0,2.0,Mainz 05
2023-08-27,15:30,Bundesliga,Matchweek 2,Sun,Home,D,1.0,1.0,Eint Frankfurt,1.2,1.1,40.0,33305.0,Robin Zentner,3-4-3,Bastian Dankert,Match Report,,12.0,6.0,15.9,2.0,0.0,0.0,Mainz 05
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Away,L,0.0,4.0,Werder Bremen,0.5,2.7,55.0,41000.0,Robin Zentner,3-4-3,Robert Schröder,Match Report,,13.0,3.0,18.4,1.0,0.0,0.0,Mainz 05
