date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,sota,saves,cs,pka,pksv,totdist,live,dead,att,touches,succ,team
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Away,L,1.0,3.0,Hoffenheim,1.2,2.0,60.0,17500.0,Maximilian Arnold,4-3-3,Felix Zwayer,Match Report,,13.0,7.0,16.7,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,9078.0,521.0,48.0,569.0,656.0,5.0,Wolfsburg
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Home,W,2.0,1.0,Union Berlin,0.4,1.1,44.0,21917.0,Maximilian Arnold,4-2-3-1,Felix Brych,Match Report,,8.0,3.0,21.4,1.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,7261.0,403.0,52.0,458.0,580.0,5.0,Wolfsburg
2023-08-12,15:30,DFB-Pokal,Round of 64,Sat,Away,W,6.0,1.0,TSV Schott Mainz,,,73.0,30312.0,Emre Can,4-2-3-1,Benjamin Brand,Match Report,,24.0,10.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,Dortmund
2023-08-19,18:30,Bundesliga,Matchweek 1,Sat,Home,W,1.0,0.0,Köln,1.8,1.2,66.0,81365.0,Emre Can,4-2-3-1,Deniz Aytekin,Match Report,,13.0,2.0,12.5,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,11871.0,698.0,47.0,746.0,862.0,12.0,Dortmund
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Bochum,1.3,1.0,64.0,26000.0,Emre Can,4-2-3-1,Robert Schröder,Match Report,,14.0,3.0,15.4,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,8525.0,510.0,68.0,578.0,685.0,4.0,Dortmund
2023-09-01,20:30,Bundesliga,Matchweek 3,Fri,Home,D,2.0,2.0,Heidenheim,3.4,2.1,62.0,81365.0,Emre Can,4-3-3,Tobias Reichel,Match Report,,18.0,7.0,18.3,2.0,1.0,1.0,6.0,4.0,0.0,1.0,0.0,8460.0,503.0,55.0,560.0,686.0,11.0,Dortmund
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,W,4.0,2.0,Freiburg,2.3,1.0,50.0,34700.0,Emre Can,4-3-3,Tobias Stieler,Match Report,,15.0,7.0,13.8,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6853.0,410.0,48.0,460.0,553.0,4.0,Dortmund
2023-09-19,21:00,Champions Lg,Group stage,Tue,Away,L,0.0,2.0,fr Paris S-G,0.7,2.4,33.0,47379.0,Emre Can,3-5-2,Jesús Gil,Match Report,,14.0,1.0,19.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,5092.0,304.0,52.0,359.0,501.0,14.0,Dortmund
2023-08-13,18:00,DFB-Pokal,Round of 64,Sun,Away,W,4.0,0.0,Astoria Walldorf,,,49.0,,Rani Khedira,3-4-3,Wolfgang Haslberger,Match Report,,18.0,8.0,,,1.0,1.0,5.0,5.0,1.0,0.0,0.0,,,,,,,Union Berlin
2023-08-20,15:30,Bundesliga,Matchweek 1,Sun,Home,W,4.0,1.0,Mainz 05,1.9,2.3,47.0,22012.0,Christopher Trimmel,5-3-2,Tobias Stieler,Match Report,,11.0,6.0,14.8,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,6325.0,367.0,49.0,417.0,511.0,3.0,Union Berlin
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,W,4.0,1.0,Darmstadt 98,1.7,2.3,27.0,17810.0,Danilho Doekhi,3-5-2,Patrick Ittrich,Match Report,,13.0,6.0,15.3,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,2934.0,202.0,56.0,258.0,371.0,3.0,Union Berlin
